Bubble Sorting of 100 records,15563000ns,15ms,0s,0min
Selection Sorting of 100 records,15565000ns,15ms,0s,0min
Insertion Sorting of 100 records,0ns,0ms,0s,0min
Merge Sorting of 100 records,0ns,0ms,0s,0min
Heap Sorting of 100 records,0ns,0ms,0s,0min
Counting Sort of 100 records,0ns,0ms,0s,0min
Bubble Sorting of 10000 records,576377600ns,107950ms,107s,1min
Selection Sorting of 10000 records,1552206744ns,48796ms,48s,0min
Insertion Sorting of 10000 records,31182000ns,31ms,0s,0min
Merge Sorting of 10000 records,453055000ns,453ms,0s,0min
Heap Sorting of 10000 records,531236000ns,531ms,0s,0min
Count Sorting of 10000 records,78073000ns,78ms,0s,0min
Quick Sorting of 1000 records,31187000ns,31ms,0s,0min
Count Sorting of 10000 records,78077000ns,78ms,0s,0min
Quick Sorting of 10000 records,218689000ns,218ms,0s,0min
Radix Sort of 1000 records,31185000ns,31ms,0s,0min
Bucket Sort of 1000 records,31202000ns,31ms,0s,0min
Radix Sort of 10000 records,281186000ns,281ms,0s,0min
Bucket Sort of 10000 records,140552000ns,140ms,0s,0min
Bubble Sorting of 100 records,15579000ns,15ms,0s,0min
Selection Sorting of 100 records,15562000ns,15ms,0s,0min
Insertion Sorting of 100 records,0ns,0ms,0s,0min
Merge Sorting of 100 records,0ns,0ms,0s,0min
Quick Sorting of 100 records,0ns,0ms,0s,0min
Heap Sorting of 100 records,15605000ns,15ms,0s,0min
Counting Sort of 100 records,0ns,0ms,0s,0min
Radix Sort of 100 records,0ns,0ms,0s,0min
Bucket Sort of 100 records,15563000ns,15ms,0s,0min
Bucket Sort of 100000 records,802954000ns,802ms,0s,0min
Bucket Sort of 100 records,3702000ns,3ms,0s,0min
